Titulo,Año,Duracion,Clasificación,Puntaje,Resumen,Director,Actores,URL Imagen
100. El apartamento,1960,2h 5m,13,"8,3","Un agente de seguros de Manhattan intenta ascender en su empresa dejando que sus ejecutivos utilicen su apartamento para tener citas, pero surgen complicaciones y un romance propio.",Jack Lemmon,"1960, 2h 5min, 13, Comedia, Drama, Romance, Billy Wilder, Jack Lemmon, Shirley MacLaine, Fred MacMurray","https://m.media-amazon.com/images/M/MV5BYTM2Njk4ODctMDIwNS00YmM5LTkzNjEtZDNlMmQ2ZjJiNjE5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UY207_CR4,0,140,207_.jpg"
101. Incendios,2010,2h 11m,12,"8,3",Los gemelos viajan a Medio Oriente para descubrir su historia familiar y cumplir los últimos deseos de su madre.,Lubna Azabal,"2010, 2h 11min, 12, Drama, Misterio, Bélico, Denis Villeneuve, Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette","https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
102. Oppenheimer,2023,3h,12,"8,3",La historia del científico J. Robert Oppenheimer y su rol en el desarrollo de la bomba atómica.,Cillian Murphy,"2023, 3h, 12, Biografía, Drama, Historia, Christopher Nolan, Cillian Murphy, Emily Blunt, Matt Damon","https://m.media-amazon.com/images/M/MV5BMjVhNGYyMTktNWU0Yi00YjQwLWJmYTQtNDJmODliOTE0NmY5XkEyXkFqcGdeQXVyMTQ4NTgxNzYx._V1_QL75_UY207_CR8,0,140,207_.jpg"
103. Con la muerte en los talones,1959,2h 16m,13,"8,3","Un ejecutivo publicitario de Nueva York se da a la fuga tras ser confundido con un agente del Gobierno por un grupo de espías extranjeros, y se enamora de una mujer de cuya lealtad empieza a dudar.",Cary Grant,"1959, 2h 16min, 13, Acción, Aventura, Misterio, Alfred Hitchcock, Cary Grant, Eva Marie Saint, James Mason","https://m.media-amazon.com/images/M/MV5BNTNhY2JjZWUtN2FlMS00MzcwLTkxNTgtZWUzMDA0NzdkM2NiXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
104. Ciudadano Kane,1941,1h 59m,A,"8,3","Tras la muerte de un magnate de la industria editorial, los periodistas se apresuran a descubrir el significado de la última palabra que pronunció.",Orson Welles,"1941, 1h 59min, A, Drama, Misterio, Orson Welles, Orson Welles, Joseph Cotten, Dorothy Comingore","https://m.media-amazon.com/images/M/MV5BNDg1M2NkZGEtYjFlMC00MjIxLWExZGMtZWEwNGM5YTFlODYzXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_QL75_UX140_CR0,1,140,207_.jpg"
105. El precio del poder,1983,2h 50m,18,"8,3","En el Miami de 1980, un decidido inmigrante cubano se hace con un cártel de la droga y sucumbe a la codicia.",Al Pacino,"1983, 2h 50min, 18, Crimen, Drama, Brian De Palma, Al Pacino, Michelle Pfeiffer, Steven Bauer","https://m.media-amazon.com/images/M/MV5BNjUxMjkxYTAtOTVlMC00NjJlLTliOTYtZGI2NjQyY2QyYmJmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
106. Perdición,1944,1h 47m,A,"8,3","Un vendedor de seguros de Los Ángeles se deja seducir por un ama de casa para participar en un plan de fraude y asesinato que despierta las sospechas de su colega, un investigador.",Fred MacMurray,"1944, 1h 47min, A, Crimen, Drama, Cine negro, Billy Wilder, Fred MacMurray, Barbara Stanwyck, Edward G. Robinson","https://m.media-amazon.com/images/M/MV5BOTdlNjgyZGUtOTczYi00MDdhLTljZmMtYTEwZmRiOWFkYjRhXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UX140_CR0,2,140,207_.jpg"
"107. M, el vampiro de Düsseldorf",1931,1h 57m,13,"8,3","Cuando la policía de una ciudad alemana no es capaz de atrapar a un asesino de niños, otros criminales deciden participar en la búsqueda.",Peter Lorre,"1931, 1h 57min, 13, Crimen, Misterio, Suspense, Fritz Lang, Peter Lorre, Ellen Widmann, Inge Landgut","https://m.media-amazon.com/images/M/MV5BY2FhYmI2NDktZGE0YS00NzU3LThlNGUtNDFjZmUwYzg2MzhjXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_QL75_UX140_CR0,3,140,207_.jpg"
108. Vértigo (De entre los muertos),1958,2h 8m,A,"8,3","Un antiguo detective de la policía de San Francisco lucha contra sus demonios personales y se obsesiona con la inquietantemente bella mujer por la que ha sido contratado para seguirle el rastro, que podría estar profundamente perturbada.",James Stewart,"1958, 2h 8min, A, Misterio, Romance, Suspense, Alfred Hitchcock, James Stewart, Kim Novak, Barbara Bel Geddes","https://m.media-amazon.com/images/M/MV5BN2Y1MmVjYzQtMWUyYS00MDJkLThiNWMtZDQ4MGIxMjdhNTk1XkEyXkFqcGdeQXVyNjg2ODgwNzI@._V1_QL75_UY207_CR7,0,140,207_.jpg"
109. La chaqueta metálica,1987,1h 56m,18,"8,2","Un marine estadounidense observa los efectos deshumanizadores que la guerra de Vietnam tiene sobre sus compañeros, desde su brutal instrucción en el campo de entrenamiento hasta los sangrientos combates callejeros en Hue.",Matthew Modine,"1987, 1h 56min, 18, Drama, Bélico, Stanley Kubrick, Matthew Modine, R. Lee Ermey, Vincent D'Onofrio","https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg"
