Titulo,Año,Duracion,Clasificación,Puntaje,Resumen,Director,Actores,URL Imagen
130. La muerte tenía un precio,1965,2h 12m,18,"8,2",Dos cazarrecompensas con las mismas intenciones se asocian para seguir la pista a un forajido del Oeste.,Clint Eastwood,"1965, 2h 12min, 18, Drama, Del oeste, Sergio Leone, Clint Eastwood, Lee Van Cleef, Gian Maria Volontè","https://m.media-amazon.com/images/M/MV5BMzJlZTNkYjQtMTE1OS00YTJlLTgxNjItYzg4NTllODdkMzBiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
131. El lobo de Wall Street,2013,3h,16,"8,2","Basado en la historia real de Jordan Belfort, desde su ascenso a convertirse en un adinerado agente de bolsa viviendo la gran vida hasta su caída, que involucra el crimen, la corrupción y el gobierno federal.",Leonardo DiCaprio,"2013, 3h, 16, Biografía, Comedia, Crimen, Martin Scorsese, Leonardo DiCaprio, Jonah Hill, Margot Robbie","https://m.media-amazon.com/images/M/MV5BYTIzN2ZlMWEtYmRmMi00YWRlLThkZWYtMjZjNTliMWU4NGJkXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
132. Green Book,2018,2h 10m,12,"8,2",Un portero italoamericano de clase obrera se convierte en el chófer de un pianista clásico afroamericano en una gira de locales por el sur de Estados Unidos en los años sesenta.,Viggo Mortensen,"2018, 2h 10min, 12, Biografía, Comedia, Drama, Peter Farrelly, Viggo Mortensen, Mahershala Ali, Linda Cardellini","https://m.media-amazon.com/images/M/MV5BOTE4Y2I5YjktNGMzNi00ZGNmLWI5NzItYWE0YWQzNDIzODE0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR2,0,140,207_.jpg"
133. Con faldas y a lo loco,1959,2h 1m,A,"8,2","Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.",Marilyn Monroe,"1959, 2h 1min, A, Comedia, Música, Romance, Billy Wilder, Marilyn Monroe, Tony Curtis, Jack Lemmon","https://m.media-amazon.com/images/M/MV5BYWViMmE3NGItMDcwOS00NGExLTlhNjAtZGQ2MjlmYmNiZDQxXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
134. El chico,1921,1h 8m,A,"8,2","Un vagabundo cuida de un niño abandonado, pero una serie de eventos comprometen su relación con él.",Charles Chaplin,"1921, 1h 8min, A, Comedia, Drama, Familiar, Charles Chaplin, Charles Chaplin, Edna Purviance, Jackie Coogan","https://m.media-amazon.com/images/M/MV5BZTQzMTM4NGEtNGFjNy00YWNkLThkZjAtZmY4YWMyNTUyNzhkXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR9,0,140,207_.jpg"
135. El padre,2020,1h 37m,7,"8,2","Un hombre rechaza toda la ayuda de su hija a medida que envejece. Mientras trata de encontrarle sentido a sus circunstancias cambiantes, comienza a dudar de sus seres queridos, de su propia mente e incluso del tejido de su realidad.",Anthony Hopkins,"2020, 1h 37min, 7, Drama, Misterio, Florian Zeller, Anthony Hopkins, Olivia Colman, Mark Gatiss","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
136. Vencedores o vencidos,1961,2h 59m,18,"8,3","En 1948, un tribunal estadounidense en la Alemania ocupada juzga a cuatro nazis por crímenes de guerra.",Spencer Tracy,"1961, 2h 59min, 18, Drama, Bélico, Stanley Kramer, Spencer Tracy, Burt Lancaster, Richard Widmark","https://m.media-amazon.com/images/M/MV5BZGQwYjA4MTUtYzI5My00ZGVlLWI5ODgtZDBhMTJhOWI3MDBkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_QL75_UY207_CR0,0,140,207_.jpg"
137. El show de Truman,1998,1h 43m,A,"8,2",Truman Burbank es un hombre normal. Lo que no sabe es que desde antes de nacer es el protagonista del mayor reality show mundial.,Jim Carrey,"1998, 1h 43min, A, Comedia, Drama, Peter Weir, Jim Carrey, Ed Harris, Laura Linney","https://m.media-amazon.com/images/M/MV5BZjE5ZGZhNTQtNWE5NS00ZDZjLWE4ZDctMWIxNmU5MWYzNjhjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR5,0,140,207_.jpg"
138. Eva al desnudo,1950,2h 18m,13,"8,2",Una actriz de Broadway acoge a una joven aspirante y no se da cuenta de que poco a poco esta la está reemplazando tanto en su vida profesional como personal.,Bette Davis,"1950, 2h 18min, 13, Drama, Joseph L. Mankiewicz, Bette Davis, Anne Baxter, George Sanders","https://m.media-amazon.com/images/M/MV5BYmE1M2Y3NTYtYTI0Mi00N2JlLTkzMzItOTY1MTlhNWNkMDgzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg"
139. Shutter Island,2010,2h 18m,13,"8,2","En 1954, un marshal estadounidense investiga la desaparición de un asesino que se ha escapado de un hospital para criminales dementes.",Leonardo DiCaprio,"2010, 2h 18min, 13, Drama, Misterio, Suspense, Martin Scorsese, Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo","https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
140. Pozos de ambición,2007,2h 38m,13,"8,2","Una historia sobre la familia, la religión, el odio, y la locura, en torno a un buscador de petróleo en los primeros días de esta industria.",Daniel Day-Lewis,"2007, 2h 38min, 13, Drama, Paul Thomas Anderson, Daniel Day-Lewis, Paul Dano, Ciarán Hinds","https://m.media-amazon.com/images/M/MV5BZWU4MGVmZmUtYjQ5MC00NjkzLThhMjYtMjFiYTc0ZjQ5MGZhXkEyXkFqcGdeQXVyMjgyNDU4MjE@._V1_QL75_UY207_CR5,0,140,207_.jpg"
141. Top Gun: Maverick,2022,2h 10m,12,"8,2","Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete Mitchell está donde pertenece, forzando los límites como valiente piloto de pruebas y esquivando el avance de rango que lo dejaría en tierra.",Tom Cruise,"2022, 2h 10min, 12, Acción, Drama, Joseph Kosinski, Tom Cruise, Jennifer Connelly, Miles Teller","https://m.media-amazon.com/images/M/MV5BMmIwZDMyYWUtNTU0ZS00ODJhLTg2ZmEtMTk5ZmYzODcxODYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX140_CR0,0,140,207_.jpg"
142. Casino,1995,2h 58m,18,"8,2","Una historia de codicia, engaño, dinero, poder y asesinato se produce entre dos buenos amigos: un mafioso y un director de casino compiten entre sí por un imperio de juego y por una mujer.",Robert De Niro,"1995, 2h 58min, 18, Crimen, Drama, Martin Scorsese, Robert De Niro, Sharon Stone, Joe Pesci","https://m.media-amazon.com/images/M/MV5BNDUyM2Y1ODYtZDZjYy00ZmY3LTgyY2MtNjY1OGViNWI5NTkzXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_QL75_UY207_CR8,0,140,207_.jpg"
143. Jurassic Park (Parque Jurásico),1993,2h 7m,13,"8,2","Gracias al ADN fosilizado en ámbar, John Hammond da vida a varias especies de dinosaurios y crea Jurassic Park, un parque temático en una isla de Costa Rica. Pero lo que parecía un sueño se convierte rápidamente en pesadilla.",Sam Neill,"1993, 2h 7min, 13, Acción, Aventura, Ciencia ficción, Steven Spielberg, Sam Neill, Laura Dern, Jeff Goldblum","https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX140_CR0,1,140,207_.jpg"
144. Ran,1985,2h 40m,13,"8,2","En el Japón medieval, un anciano caudillo se retira y entrega su imperio a sus tres hijos. Sin embargo, subestima enormemente cómo el nuevo poder los corromperá y hará que se vuelvan unos contra otros - y contra él.",Tatsuya Nakadai,"1985, 2h 40min, 13, Acción, Drama, Bélico, Akira Kurosawa, Tatsuya Nakadai, Akira Terao, Jinpachi Nezu","https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
145. El sexto sentido,1999,1h 47m,13,"8,2",Un niño que se comunica con los espíritus busca la ayuda de un descorazonado psicólogo infantil.,Bruce Willis,"1999, 1h 47min, 13, Drama, Misterio, Suspense, M. Night Shyamalan, Bruce Willis, Haley Joel Osment, Toni Collette","https://m.media-amazon.com/images/M/MV5BMjllZDNlZTctYjRlNy00MzlmLTlhMTEtODY0NDdlM2UwNjM4XkEyXkFqcGdeQXVyMjgyNDU4MjE@._V1_QL75_UY207_CR3,0,140,207_.jpg"
146. El laberinto del fauno,2006,1h 58m,18,"8,2","En la España falangista de 1944, una joven aficionada a los libros e hijastra de un sádico oficial del ejército huye a un misterioso pero cautivador mundo de fantasía.",Ivana Baquero,"2006, 1h 58min, 18, Drama, Fantasía, Bélico, Guillermo del Toro, Ivana Baquero, Ariadna Gil, Sergi López","https://m.media-amazon.com/images/M/MV5BNzZiNDZlODgtODEyMC00MzJiLWEwMDQtNjY2NTY3MWI3OGM2XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_QL75_UY207_CR3,0,140,207_.jpg"
147. Sin perdón,1992,2h 10m,18,"8,2","El pistolero retirado del viejo Oeste, Bill Munny, acepta a regañadientes un último trabajo, con la ayuda de su viejo compañero Ned Logan y de un joven.",Clint Eastwood,"1992, 2h 10min, 18, Drama, Del oeste, Clint Eastwood, Clint Eastwood, Gene Hackman, Morgan Freeman","https://m.media-amazon.com/images/M/MV5BYjllYzFkMTMtYmJkYy00MmM2LWIxYWEtZDZmMTU5OTM4YjljXkEyXkFqcGdeQXVyNTA0MDcwNw@@._V1_QL75_UY207_CR3,0,140,207_.jpg"
148. No es país para viejos,2007,2h 2m,18,"8,2",La violencia y el caos se desatan después de que un cazador tropiece con un negocio de drogas que salió mal y con más de dos millones de dólares en efectivo cerca del Río Grande.,Tommy Lee Jones,"2007, 2h 2min, 18, Crimen, Drama, Suspense, Ethan Coen, Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin","https://m.media-amazon.com/images/M/MV5BYWExMDEwNTEtYWY1OC00MzJmLTk1MTgtOGZiZDM3YzAzOWU5XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR4,0,140,207_.jpg"
149. La cosa (El enigma de otro mundo),1982,1h 49m,16,"8,2",Un equipo de investigación en la Antártida es perseguido por un alienígena que cambia de forma y asume la apariencia de sus víctimas.,Kurt Russell,"1982, 1h 49min, 16, Terror, Misterio, Ciencia ficción, John Carpenter, Kurt Russell, Wilford Brimley, Keith David","https://m.media-amazon.com/images/M/MV5BZjRmM2JlYTQtYjAyOS00M2U2LWJiOWItZjQ5NzJhZWY4YzFhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
150. Una mente maravillosa,2001,2h 15m,A,"8,2","Después de que John Nash, un matemático brillante pero asocial, acepte un trabajo secreto en criptografía, su vida da un giro hacia la pesadilla.",Russell Crowe,"2001, 2h 15min, A, Biografía, Drama, Misterio, Ron Howard, Russell Crowe, Ed Harris, Jennifer Connelly","https://m.media-amazon.com/images/M/MV5BOTdlODY4ODUtMmE1My00ZWY0LWFkMjAtOWU5ZWYzZjU1YTE5XkEyXkFqcGdeQXVyMjgyNDU4MjE@._V1_QL75_UY207_CR4,0,140,207_.jpg"
151. Kill Bill: Volumen 1,2003,1h 51m,18,"8,2","Tras despertar de un coma de cuatro años, una antigua asesina se venga del equipo de asesinos que la traicionó.",Uma Thurman,"2003, 1h 51min, 18, Acción, Crimen, Suspense, Quentin Tarantino, Uma Thurman, David Carradine, Daryl Hannah","https://m.media-amazon.com/images/M/MV5BNzE2MTg0ZmQtNzRjOC00NTJkLWI1YWQtMGY1ZGViYTA2ZmNjXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_QL75_UX140_CR0,1,140,207_.jpg"
152. El tesoro de Sierra Madre,1948,2h 6m,Approved,"8,2","Dos estadounidenses sin suerte, que buscan trabajo en el México de los años 20, convencen a un viejo minero para que les ayude a extraer oro en las montañas de Sierra Madre.",Humphrey Bogart,"1948, 2h 6min, Approved, Aventura, Drama, Del oeste, John Huston, Humphrey Bogart, Walter Huston, Tim Holt","https://m.media-amazon.com/images/M/MV5BMTQ5MjY1NzUyNV5BMl5BanBnXkFtZTgwMzE4MzgyMjE@._V1_QL75_UY207_CR1,0,140,207_.jpg"
153. Yojimbo,1961,1h 50m,13,"8,2",Un astuto samurái ronin llega a un pueblo dividido por dos bandas criminales y decide enfrentar a una contra otra para liberar el pueblo.,Toshirô Mifune,"1961, 1h 50min, 13, Acción, Drama, Suspense, Akira Kurosawa, Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai","https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,1,140,207_.jpg"
154. La gran evasión,1963,2h 52m,18,"8,2",Prisioneros de guerra aliados planean una elaborada fuga de varios cientos de ellos de un campo alemán durante la Segunda Guerra Mundial.,Steve McQueen,"1963, 2h 52min, 18, Aventura, Drama, Suspense, John Sturges, Steve McQueen, James Garner, Richard Attenborough","https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX140_CR0,6,140,207_.jpg"
155. Los caballeros de la mesa cuadrada y sus locos seguidores,1975,1h 31m,A,"8,2","El rey Arturo y sus caballeros de la mesa redonda se embarcan en una búsqueda surrealista y de bajo presupuesto del Santo Grial, encontrando muchos y muy absurdos obstáculos.",Graham Chapman,"1975, 1h 31min, A, Aventura, Comedia, Fantasía, Terry Gilliam, Terry Jones, Graham Chapman, John Cleese, Eric Idle","https://m.media-amazon.com/images/M/MV5BY2I1OTMyNjQtNWQ1OC00NzJhLTkxZjYtMGNhMGYzMjg1MzhjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
156. Buscando a Nemo,2003,1h 40m,A,"8,2","Cuando su hijo es capturado, un tímido pez payaso se embarca en un viaje para traerlo a casa.",Albert Brooks,"2003, 1h 40min, A, Animación, Aventura, Comedia, Andrew Stanton, Lee Unkrich, Albert Brooks, Ellen DeGeneres, Alexander Gould","https://m.media-amazon.com/images/M/MV5BN2MxMGRkZmMtYzFhMS00YTdmLTgwMjYtZWNlMjZhZjJmNmVmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
157. Prisioneros,2013,2h 33m,16,"8,2","Cuando la hija de Keller Dover y su amiga desaparecen, él toma el caso en sus manos mientras la policía sigue múltiples pistas y aumenta la presión.",Hugh Jackman,"2013, 2h 33min, 16, Crimen, Drama, Misterio, Denis Villeneuve, Hugh Jackman, Jake Gyllenhaal, Viola Davis","https://m.media-amazon.com/images/M/MV5BZDE0MmY0OGItZDhiYS00MDc3LTkzOTEtMDUxMmE0ZGZhZTVlXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_QL75_UY207_CR3,0,140,207_.jpg"
158. El castillo ambulante,2004,1h 59m,7,"8,2",Una joven sin confianza en sí misma es maldita con un cuerpo envejecido por una bruja odiosa. Su única oportunidad de romper el hechizo es un joven brujo en un castillo ambulante.,Chieko Baishô,"2004, 1h 59min, 7, Animación, Aventura, Familiar, Hayao Miyazaki, Chieko Baishô, Takuya Kimura, Tatsuya Gashûin","https://m.media-amazon.com/images/M/MV5BNzBjZTZjZDYtOTM4MS00NWM0LThlMGEtYzBlMzllMjc4NzU4XkEyXkFqcGdeQXVyMjgyNDU4MjE@._V1_QL75_UY207_CR3,0,140,207_.jpg"
159. Rashomon,1950,1h 28m,13,"8,2","La violación de una novia y el asesinato de su marido samurái se rememoran desde las perspectivas de un bandido, la novia, el fantasma del samurái y un leñador.",Toshirô Mifune,"1950, 1h 28min, 13, Crimen, Drama, Misterio, Akira Kurosawa, Toshirô Mifune, Machiko Kyô, Masayuki Mori","https://m.media-amazon.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
160. El hombre elefante,1980,2h 4m,14,"8,2","Un cirujano victoriano rescata a un hombre fuertemente desfigurado que es maltratado mientras se gana la vida como monstruo de feria. Tras su monstruosa fachada, se revela una persona bondadosa, inteligente y sofisticada.",Anthony Hopkins,"1980, 2h 4min, 14, Biografía, Drama, David Lynch, Anthony Hopkins, John Hurt, Anne Bancroft","https://m.media-amazon.com/images/M/MV5BYWFjNGQ0ZGYtOTNhYi00YjBjLWI2NDctYmU4NTExOWU1NTVhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UY207_CR3,0,140,207_.jpg"
161. Crimen perfecto,1954,1h 45m,A,"8,2",Un antiguo jugador de tenis incrimina a su rica esposa en un asesinato con objeto de quedarse con su fortuna y como venganza porque ella ha mantenido una aventura con otro hombre.,Ray Milland,"1954, 1h 45min, A, Crimen, Suspense, Alfred Hitchcock, Ray Milland, Grace Kelly, Robert Cummings","https://m.media-amazon.com/images/M/MV5BZmUxYjkyZDUtYTExNi00M2UwLTg1ZGYtM2Y0NzUyOTQ5ZDQ0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY207_CR4,0,140,207_.jpg"
162. Chinatown,1974,2h 10m,18,"8,1","Un detective privado, contratado para desenmascarar a un adúltero en Los Ángeles de los años 30, se ve envuelto en una red de engaños, corrupción y asesinato.",Jack Nicholson,"1974, 2h 10min, 18, Drama, Misterio, Suspense, Roman Polanski, Jack Nicholson, Faye Dunaway, John Huston","https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
163. Lo que el viento se llevó,1939,3h 58m,A,"8,2",Una manipuladora belleza sureña y un pícaro aprovechado se enfrentan en un turbulento romance mientras la sociedad se desmorona con el fin de la esclavitud y se reconstruye durante los periodos de la guerra de Secesión y la Reconstrucción.,Clark Gable,"1939, 3h 58min, A, Drama, Romance, Bélico, Victor Fleming, George Cukor, Sam Wood, Clark Gable, Vivien Leigh, Thomas Mitchell","https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,3,140,207_.jpg"
164. Lock & Stock,1998,1h 47m,18,"8,1","Una partida de cartas en Londres desencadena un enfrentamiento entre cuatro amigos, plantadores de maría, gánsteres, prestamistas y recolectores de deudas en una serie de curiosos eventos, todo por algo de maría, dinero y dos viejas pistolas.",Jason Flemyng,"1998, 1h 47min, 18, Acción, Comedia, Crimen, Guy Ritchie, Jason Flemyng, Dexter Fletcher, Nick Moran","https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX140_CR0,1,140,207_.jpg"
165. V de vendetta,2005,2h 12m,13,"8,1","En una futura tiranía británica, un tenebroso luchador por la libertad, conocido solo por el alias de ""V"", conspira para derrocarla con la ayuda de una joven.",Hugo Weaving,"2005, 2h 12min, 13, Acción, Drama, Ciencia ficción, James McTeigue, Hugo Weaving, Natalie Portman, Rupert Graves","https://m.media-amazon.com/images/M/MV5BMGZiNGUzZGYtYTIwOS00YjE5LWI3NWItMzZiMzc2YjEzMzJmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR2,0,140,207_.jpg"
166. El secreto de sus ojos,2009,2h 9m,7,"8,2","Un asesor legal jubilado escribe una novela con la esperanza de cerrar uno de sus antiguos casos de homicidio, que sigue sin resolver, y superar el amor no correspondido que sentía por su jefa. Décadas después, ambos recuerdos le siguen persiguiendo.",Ricardo Darín,"2009, 2h 9min, 7, Drama, Misterio, Romance, Juan José Campanella, Ricardo Darín, Soledad Villamil, Pablo Rago","https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
167. Del revés (Inside Out),2015,1h 35m,A,"8,1","Riley abandona sus raíces en el medio oeste cuando se muda a San Francisco, donde sus emociones Alegría, Miedo, Ira, Asco y Tristeza entran en conflicto mientras intenta acostumbrarse a la nueva ciudad, casa y escuela.",Amy Poehler,"2015, 1h 35min, A, Animación, Aventura, Comedia, Pete Docter, Ronnie Del Carmen, Amy Poehler, Bill Hader, Lewis Black","https://m.media-amazon.com/images/M/MV5BNmRmZWE0NDEtZTE1Ni00MzkxLTkwODItOTFiMWIyYWEyMTdmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
168. Toro salvaje,1980,2h 9m,16,"8,1","La vida del boxeador Jake LaMotta, que ve cómo la violencia y el temperamento que lo llevan a lo más alto en el ring, destruyen su vida fuera de él.",Robert De Niro,"1980, 2h 9min, 16, Biografía, Drama, Deporte, Martin Scorsese, Robert De Niro, Cathy Moriarty, Joe Pesci","https://m.media-amazon.com/images/M/MV5BYTkyYzc4ZDMtYzExNi00ZDczLTk3MmQtNjVmNTY1NTUwNzliXkEyXkFqcGdeQXVyNDIyNjA2MTk@._V1_QL75_UY207_CR3,0,140,207_.jpg"
169. Tres anuncios en las afueras,2017,1h 55m,16,"8,1",Una madre desafía a las autoridades locales a que resuelvan el asesinato de su hija cuando fracasan en encontrar al culpable.,Frances McDormand,"2017, 1h 55min, 16, Comedia, Crimen, Drama, Martin McDonagh, Frances McDormand, Woody Harrelson, Sam Rockwell","https://m.media-amazon.com/images/M/MV5BNzBmMWFmZGQtMjYyZS00OGYwLWIzMmYtM2YwYjUyZGI0YzJiXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR2,0,140,207_.jpg"
170. Trainspotting,1996,1h 33m,18,"8,1","Renton, inmerso en el mundo de las drogas de Edimburgo, intenta desintoxicarse.",Ewan McGregor,"1996, 1h 33min, 18, Drama, Danny Boyle, Ewan McGregor, Ewen Bremner, Jonny Lee Miller","https://m.media-amazon.com/images/M/MV5BMTcwNzkwOTA0N15BMl5BanBnXkFtZTgwNDQ5NDQxMDE@._V1_QL75_UY207_CR7,0,140,207_.jpg"
171. El puente sobre el río Kwai,1957,2h 41m,A,"8,1","Unos prisioneros de guerra británicos se ven obligados a construir un puente ferroviario sobre el río Kwai para sus captores japoneses en la Birmania ocupada, sin saber que las fuerzas aliadas están planeando destruirlo.",William Holden,"1957, 2h 41min, A, Aventura, Drama, Bélico, David Lean, William Holden, Alec Guinness, Jack Hawkins","https://m.media-amazon.com/images/M/MV5BNmMyNzI1MGEtNDkyZS00MmY2LWJlZmUtMjA1MzMwZjM3OWViXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UY207_CR4,0,140,207_.jpg"
172. Klaus,2019,1h 36m,A/i,"8,2","Un simple acto de bondad puede invitar a otro, incluso en lugares lejanos y fríos. Jesper, el nuevo cartero de Smeerensburg, entabla amistad con el juguetero Klaus, derribando un viejo muro.",Jason Schwartzman,"2019, 1h 36min, A/i, Animación, Aventura, Comedia, Sergio Pablos, Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones","https://m.media-amazon.com/images/M/MV5BM2Q2Njg3ZmQtMDlmZi00NzE5LWJlOWYtY2I5NzhiZDdmNTk3XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
173. Atrápame si puedes,2002,2h 21m,7,"8,1","Con apenas 21 años, Frank es un hábil falsificador que se ha hecho pasar por médico, abogado y piloto. El agente del FBI Carl se obsesiona con seguir la pista del estafador, que disfruta con la persecución.",Leonardo DiCaprio,"2002, 2h 21min, 7, Biografía, Crimen, Drama, Steven Spielberg, Leonardo DiCaprio, Tom Hanks, Christopher Walken","https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_QL75_UX140_CR0,0,140,207_.jpg"
174. Fargo,1996,1h 38m,18,"8,1",Los crímenes de Jerry Lundegaard se caen a pedazos gracias a la torpeza de sus hombres y al persistente trabajo de la oficial de policía Marge Gunderson.,William H. Macy,"1996, 1h 38min, 18, Crimen, Suspense, Joel Coen, Ethan Coen, William H. Macy, Frances McDormand, Steve Buscemi","https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR0,0,140,207_.jpg"
175. Warrior,2011,2h 20m,12,"8,1","El hijo pequeño de un exboxeador alcohólico vuelve a casa, donde su padre le entrena para un torneo de artes marciales mixtas - un camino que le llevará a enfrentarse a su hermano mayor, del que se ha distanciado.",Tom Hardy,"2011, 2h 20min, 12, Acción, Drama, Deporte, Gavin O'Connor, Tom Hardy, Nick Nolte, Joel Edgerton","https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_QL75_UX140_CR0,4,140,207_.jpg"
176. Spider-Man: No Way Home,2021,2h 28m,7,"8,2","Con la identidad de Spider-Man ahora revelada, Peter recurre al Doctor Strange en busca de ayuda. Algo sale mal y el multiverso se convierte en la mayor amenaza. Ahora Peter debe descubrir qué significa realmente ser Spider-Man.",Tom Holland,"2021, 2h 28min, 7, Acción, Aventura, Fantasía, Jon Watts, Tom Holland, Zendaya, Benedict Cumberbatch","https://m.media-amazon.com/images/M/MV5BN2MyZjc3ODAtODhmYy00YzI5LTgyZTQtMWM1NzQ0MGVjMzFhXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX140_CR0,1,140,207_.jpg"
177. Gran Torino,2008,1h 56m,13,"8,1","Walt Kowalski, taciturno veterano de la guerra de Corea, intenta reformar a su vecino adolescente cuando este intenta robarle su posesión más preciada: un Gran Torino de 1972.",Clint Eastwood,"2008, 1h 56min, 13, Drama, Clint Eastwood, Clint Eastwood, Bee Vang, Christopher Carley","https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
178. Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2h 10m,7,"8,1","Harry, Ron y Hermione buscan los restantes horrocruxes de Voldemort en su esfuerzo por destruir al Señor Oscuro, mientras la batalla final continúa en Hogwarts.",Daniel Radcliffe,"2011, 2h 10min, 7, Aventura, Familiar, Fantasía, David Yates, Daniel Radcliffe, Emma Watson, Rupert Grint","https://m.media-amazon.com/images/M/MV5BOWM3OTkyMzItYzQ1YS00YmM4LTg5MDEtNjQ1ZDgxZWFkMmRiXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR6,0,140,207_.jpg"
